City_ID,City_Name,Locality_ID,Locality_Name,Concatenate,File_Locality_Name,Script
2,Bangalore,,,BangaloreSrinivasa Nagar,Srinivasa Nagar,e_boAavyxMp]mCnPe@rMU`OdCp@gHGiPi@iAcDaXiAi@iBaI[UQwIKgWq@mGe@yCXgD}N_FcJ}C{GwBsPgB{^wCtBlUV[rFlAjERhAf@n@p@b@PGZBNx@RXp@g@`AcCf@uEhAcFdC}@PDk@fByDN}@DeBk@wB_CgBoByUoAqEeIoMoHoJcMeC[Jb@~CmAbN_A~TiAhC_AjMpGpBf@^^P`Gl@LR@`C_@`A{@dAIB_AUoCwDc@S[[Qo@?k@Dg@PO{FcBdK`RxL~K`OpJ|K~K~AbHbDh]zA`X
2,Bangalore,,,Bangalorekalbalu,kalbalu,wjzlAewrxMkh@iKqWgg@ol@my@kFqUhPaVp@aVpLwQjFzK~UtA|SbArBdI|S`@{G`NegA|b@jj@tu@hPnFz]hw@
2,Bangalore,,,BangaloreHuskur,Huskur,}dunA_`qyMrAuEi@qGz@kVsUrEqTzBqKoBaMtLcA|LrGpNx@`]~IhGjBQ?gJvJ_HbG{M`XgM
2,Bangalore,50373,,BangaloreNelamangala,Nelamangala,_`ynAwqrwMwLqCmBb@y@dBsFOu@KYe@q@iB}AOs@o@Ui@g@]qARn@pBd@^vAR`CjHR`FStCa@dCwAz@WR?j@DHb@fAW^DTv@D^PZDRIZq@Jq@Xa@j@C~@^~@Vn@Wz@cAf@yAGQLa@ZWb@?b@}@D_GOsAY{@KyB|@mBN}@vLdC|Syi@vP`{@rA~EFbLsArKqCvHu@lAqIf\\gGtViCtHwy@iJ{HkADCLSY_@OR{@XE@c@LU\\GdA[`@s@\\o@JQD_@@iAIuGcAiHiDKODm@Ei@GAY@Ij@ArBCRE^GHELAf@m@HI_@iCO[dA?bCv@PJW`Cx@Nl@`Aj@\\vE]bAf@hA@ZLDNX?NOTQHo@BCFEf@OLGb@KPMDORa@@SzAVJp@D\\CLI~EaHz@d@pDqC|B}Ev@wA`CmBhA{An@qAl@i@b@m@JGj@i@ncAfMgG`_@}@~\\rA~OdBbQhDpW}ElAgGRFhWuUd_@{FjL_]~E{Gd\\cY{KsGeFcGgMq@z@`@`GzAbLzAjD?|LvEvMbBzG{HpGyPaO_WmAJsMF{FXsBO}FxAoDbAwD?iCCwBu@gAkGaCsAaBuFzDy\\tL}FsDeIqA}H_CnB_NwDYd@sGoHgAgGaK|@k@X{@Ce@t@{@pFQtBWxw@mCeG}BZa@MuAjBKbAb@f@?f@qAr@UbCuEtAeERkBr@uBLOhAoCJe@P[R]JSHQ@_AJe@m@MsB`@c@j@Sd@Ip@_@x@gFzCuCHs@Ye@gDuCgAo@SoAYM^`AfAj@bALzCHfFwBxE?jEAjBRd@|@PpAA~@TfGhC{[bA}Zn@sVoH{DiAaLsHsJgFqSyLeDuF_GmKmXiTmFaGaIoMzDsKpImMp@kFbB_HhCeEvGiElTcNnDuElF_MrGkH~PyNxKsH`CyB~G{U~DeLzCmEbE}LzBqPvCeV`AoHhCeA|K]xIj@vLIhSpk@CbAFn@v@z@t@l@dC|@rBVtEDpASbFgAvAK|@@\\z@^n@dBDr@SlBJb@CJWKq@qAgCy@sDq@sAk@mBQm@Ce@GUWSG_@Lo@Gu@Hm@n@_AqA]c@PIf@q@XcBFq@o@sCHc@d@RxBAv@Ut@yAvA{Ar@aEb@sFlCa@ZcSmk@jWqDvUy@lZa@jMa@fPqGzLmEZjFbZtFmB~K`l@hU
2,Bangalore,#N/A,,BangaloreHuvinayakanahalli,Huvinayakanahalli,gmgoA{_byMre@_nB}zA}Siu@bt@sMgIsA|i@bApGfExJwDPsBbWhFa@~J|ErAgCxKdE`Sk@rLvINqUvF|BpAbE~AjMx@rZfUmPpGq`@~IjD
2,Bangalore,,,BangaloreMadhura Nagar,Madhura Nagar,wl}mAs|pyMmD{@kZoBg]cEvAq`@zN_b@zaAdRkBtDg@zAi@vHuAxDcD|IoBxGI~AEhBoAbE
2,Bangalore,,,BangaloreSulikunte,Sulikunte,grtmAcknyMi@rCVdCcBvJf@x@xCpB\\n@dChA`CN{DfI_DlEuIdLuGfJoAnClCDbCPlAQlFn@hBKnBiAlAqAh@sAl@eBrBl@bJWrC`@lImDx@e@pQkp@}VqCqQoCwC[aBUaD_@g@E
2,Bangalore,52346,,BangaloreNarayanaghatta,Narayanaghatta,{kkmAcdlyMlEjAtClAzI~@rAn@cAlBV`CrFz@tB~@`AjBx@pEvAxAvAhCdb@|As[wmAaFL_EfAmEbDqFjD_DvD_EpEqFdG{CjD??
2,Bangalore,#N/A,,BangaloreClass D Employees Housing Society layout,Class D Employees Housing Society layout,_|inAqtzwMqj@qAfGic@nAeN|BmG~AaGb@wDd@mIdBu@~AyMpDiAvC}CtCnEpExFRxAzA_AvB|NaA`@HdARl@r@Bi@^Ht@vEVa@nDsOt`A
2,Bangalore,51143,,BangaloreHoskote,Hoskote,kmtnAmfwyMhA`^_E|Dws@f}@yJw@mDcFaF{ImBiIf[k^iFz@oDdBcH|HgJfFeC|AkBbAo[Pue@eI{MuLkBi]_E}dBeI{^FoXxLw}@xh@{GlbA`C|`@j[tSb^Vjl@?nU~ZpLxFpWjAhUmBvUcNxC
